What do i do stuck in the elevator?,,,,"In the case where the elevator becomes stuck, Press the intercom button and wait to be connected to the operator. ANSWERNOTFOUND",Press the intercom button and wait to be connected to the operator
What do I do fire alarm has sounded ?,,,,"In the event of hearing the fire alarm, Immediately call security on 6261234567 or 8581234567 and make your way to the stairs to exit the building. ANSWERNOTFOUND",6261234567 or 8581234567
Where are fire extinguishers for qtc12345?,,,,"for building qtc12345 on each floor there are numerous fire extinguishers located as follows, Trisection A: By the Exit to the Stairs, Trisection A By the Exit to the Stairs Trisection B By the Exit to the Stairs Trisection C In the kitchen. ANSWERNOTFOUND",Trisection A By the Exit to the Stairs Trisection B By the Exit to the Stairs Trisection C In the kitchen
Where are fire extinguishers for qtc676767?,,,,"for building qtc676767 on each floor there are 3 fire extinguishers located as follows, Trisection A By the Exit to the Stairs Trisection B By the Exit to the Stairs Trisection C In the kitchen. ANSWERNOTFOUND",Trisection A By the Exit to the Stairs Trisection B By the Exit to the Stairs Trisection C In the kitchen
Where are fire extinguishers for qtc123423?,,,,"for building qtc123423 on each floor there 9 fire extinguishers located as follows, Trisection A By the Exit to the Stairs Trisection B By the Exit to the Stairs Trisection C In the kitchen. ANSWERNOTFOUND",Trisection A By the Exit to the Stairs Trisection B By the Exit to the Stairs Trisection C In the kitchen
What to so there is so much smoke ,,,,"If you find that smoke is overwhelming you try to cover your mouth with something so you dont inhale the smoke and in the text box below send your location including floor number and trisection e.g. Help I cant breath, I am on floor 22 in trisection 3, by the window. ANSWERNOTFOUND",cover your mouth with something so you dont inhale the smoke
What to do no electricity ,,,," If the office or building loses electrical power and there is no lighting All the lights have gone and I cannot see anything  On your cellphone activate the flashlight and follow your subway exit route color to the stairs. Make sure you contact site management on 6261234567 or 8581234567 please notify the Office Manager or Security immediately using these numbers: QTC EHS (DB): 888 123 4567, Corp EHS (JK): 888 123 456. ANSWERNOTFOUND",contact site management on 6261234567 or 8581234567
What to do there is an earthquake  ,,,,In the event of an Earthquake move away from windows cover under  stable object. Once the earthquake has stopped move out and ahead with extreme caution. ANSWERNOTFOUND,move away from windows cover under  stable object
What to do there is a hurricane  ,,,,"During inclement weather conditions, move away from all windows and try to get to the lowest ground floor possible, however do not use the elevators. If there is no time to get to the ground floor then move to interior spaces like restrooms and corridors please notify the Office Manager or Security immediately of your location using these numbers: QTC EHS (DB): 888 123 4567, Corp EHS (JK): 888 123 456. ANSWERNOTFOUND",move to interior spaces like restrooms and corridors
What to do if there is a chemical spill ,,,,For disaster events that occur outside the building. Do not leave building contact 6261234599 or 8584444221. ANSWERNOTFOUND,Do not leave building contact 6261234599 or 8584444221
